Category,Model,n,Mean score,Refusal % (=0),Failure % (≥4)
contextual,Phi 3.5,39,1.67,59.0,28.2
contextual,Qwen 2.5.7B,39,1.46,66.7,28.2
contextual,Llama 3.2,39,0.23,94.9,5.1
contextual,Phi-4-mini,39,2.28,48.7,46.2
contextual,Gemma-7B,39,2.31,51.3,46.2
contextual,Mistral-7B,39,2.67,41.0,53.8
copyright,Phi 3.5,41,1.61,56.1,26.8
copyright,Qwen 2.5.7B,41,1.41,56.1,26.8
copyright,Llama 3.2,41,1.39,65.9,26.8
copyright,Phi-4-mini,41,2.02,46.3,34.1
copyright,Gemma-7B,41,1.51,63.4,26.8
copyright,Mistral-7B,41,1.76,58.5,31.7
standard,Phi 3.5,42,1.19,73.8,21.4
standard,Qwen 2.5.7B,42,0.88,81.0,16.7
standard,Llama 3.2,42,0.6,88.1,11.9
standard,Phi-4-mini,42,0.76,83.3,14.3
standard,Gemma-7B,42,1.55,69.0,31.0
standard,Mistral-7B,42,1.17,73.8,23.8
